id_1,id_2
10240,8606
10240,21351
10241,173
10241,522
10241,710
10241,1078
10241,2242
10241,3469
10241,3669
10241,4204
10241,5029
10241,15763
10241,6802
10241,7166
10241,7364
10241,8120
10241,14451
10241,8508
10241,8773
10241,8932
10241,9176
10241,9572
10241,10783
10241,12450
10241,12851
10241,13294
10241,14439
10241,21120
10241,16618
10241,20342
10241,16960
10241,20682
10241,21764
10241,18577
10241,20024
10241,19660
10241,17598
10241,20245
10241,17386
10241,17455
10241,21708
10241,18856
10241,20441
10241,11005
10241,18714
10241,19415
10241,19776
10241,18903
2051,20600
2051,21120
2051,16618
2051,19603
2051,5439
5124,1078
5124,2242
5124,10694
5124,14094
522,173
522,20245
522,17455
522,710
522,8120
522,7663
522,12851
522,20342
522,15763
522,18577
522,4204
522,16960
522,20682
522,3669
522,8508
522,5029
522,17386
522,20441
522,13294
522,16794
522,21120
522,8773
522,10783
522,18856
522,8932
522,6802
522,19660
522,1078
522,7364
522,17598
522,21764
522,12450
522,11005
522,9572
522,18714
522,2242
522,9176
522,19415
522,14451
522,18903
522,14439
2572,622
2572,933
2572,3521
2572,7966
2572,9844
2572,11631
2572,11797
2572,17614
2572,18934
2572,21140
2572,21315
8720,3246
8720,7663
8720,5700
8720,13758
8720,10117
8720,19776
8720,12286
8720,19177
12308,720
12308,3833
12308,4966
12308,7663
12308,5653
12308,5700
12308,6749
12308,11710
12308,13267
12308,14413
12308,8817
12308,14440
12308,7166
12308,22187
12308,19529
12308,9764
12308,18155
12308,21120
12308,13294
12308,10783
12308,21921
12308,18220
12308,11487
12308,17870
12308,10094
12308,18425
12308,7802
12308,11149
12308,17685
12308,16308
12308,14650
12308,20116
12308,12032
12308,10117
12308,6277
12308,11178
12308,14168
12308,8348
12308,19776
12308,12286
12308,20095
12308,20415
11797,622
11797,1107
11797,1161
11797,1895
11797,2483
11797,2655
11797,3182
11797,3521
11797,3866
11797,4456
11797,4464
11797,5096
11797,5509
11797,4707
11797,19773
11797,16131
11797,10079
11797,10984
11797,11066
11797,11439
11797,11631
11797,14469
11797,10110
11797,19743
11797,19963
11797,17522
11797,21140
11797,13272
11797,14487
11797,17979
11797,21729
11797,19404
11797,15249
11797,16743
11797,15980
11797,15301
11797,21351
11797,18934
11797,17327
11797,12666
11797,18805
11797,17292
11797,21315
11797,15871
11797,19041
11797,20864
5653,4390
5653,11710
5653,14795
5653,12032
5653,10117
5653,20095
5653,18425
5653,11178
5653,11149
5653,6749
5653,16308
5653,8348
5653,14650
5653,13527
5653,8817
5653,22187
5653,20415
5653,22239
19483,8606
19483,10117
19483,16618
19483,21708
19483,19743
19483,21729
10783,173
10783,710
10783,1078
10783,2242
10783,3669
10783,4204
10783,5029
10783,15763
10783,6802
10783,7364
10783,8120
10783,14451
10783,8508
10783,8773
10783,8932
10783,9176
10783,20342
10783,13294
10783,21764
10783,18577
10783,19177
10783,20245
10783,17386
10783,17455
10783,12851
10783,18155
10783,21120
10783,17598
10783,18856
10783,20441
10783,16960
10783,18903
10783,18714
10783,19776
9764,4390
9764,5700
9764,8348
9764,11710
9764,14795
9764,12032
9764,10117
9764,20095
9764,11178
9764,14650
9764,16308
9764,18155
9764,6277
9764,13527
9764,18425
9764,20415
9764,22239
3624,19603
18477,10117
18477,14168
20015,2483
20015,2942
20015,3521
20015,9844
20015,12666
20015,15980
20015,17522
20015,17979
20015,21351
20015,21140
20015,21315
17455,710
17455,1078
17455,2242
17455,3469
17455,4204
17455,5029
17455,15763
17455,6802
17455,7364
17455,8120
17455,8508
17455,8773
17455,8932
17455,9176
17455,9572
17455,12450
17455,12851
17455,13294
17455,14439
17455,21120
17455,16960
17455,17386
17455,19415
17455,21764
17455,20682
17455,20441
17455,11005
17455,18856
17455,17598
17455,18577
17455,18903
8242,2710
8242,19949
8242,6231
8242,12534
8242,15934
8242,21902
2611,2242
12851,173
12851,710
12851,1078
12851,2242
12851,4204
12851,5029
12851,15763
