id,facebook_id,page_name,page_type
173,134470763282957,European Union in Israel,government
285,197360157500,Canada Explorez sans fin,company
287,105532425026,Milk,company
464,112567882220866,CARD.com,company
522,479130188842492,União Europeia na Guiné-Bissau,government
622,175739635505,Maryland Department of Public Safety and Correctional Services,government
657,151608581556109,Gold Rush,tvshow
701,20531316728,Facebook,company
710,478590035626002,European Union in Mauritius,government
720,216347025147950,Mechthild Heil,politician
831,147409458760059,Gisela Manderla,politician
849,117745288271605,Portugal Telecom,company
933,181604281876939,Howard County Police Department,government
999,147693765304239,"India in Germany (Embassy of India, Berlin)",government
1078,583097918426250,European Union in New Zealand,government
1107,94028696795,Maryland's Commitment to Veterans,government
1161,380795245366639,Maryland Horse Industry Board,government
1605,127294640785,Court-circuit,tvshow
1895,131647483549171,Howard County Government,government
2051,598216760241817,Anton Hofreiter,politician
2156,158553450917579,Discovery's Frozen Planet,tvshow
2242,288685247830495,EU in South Africa,government
2483,180174658686,Cecil County Health Department,government
2572,58771761955,Baltimore Police Department,government
2611,728722630581752,Consulatul General al Romaniei la Cape Town,government
2655,187348297981552,Maryland Department of General Services,government
2710,1407185619590965,Mélanie Joly,politician
2942,80128057786,"Fort George G. Meade, Md",government
3007,787843587973738,Zihni,politician
3051,166189750100717,Les échangistes,tvshow
3182,129440747103349,Maryland State Retirement and Pension System,government
3246,192941487432989,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),government
3451,202866606417783,Ministère de la Culture,government
3469,130524243634087,EU Science & Innovation,government
3505,348936875164129,Téléfilm Canada,government
3521,151028621584425,Maryland State Police,government
3552,105099412908163,Nitro Boats,company
3624,207423949711700,Kathalijne Buitenweg,politician
3669,190202804493390,EU Delegation to Zimbabwe,government
3833,652126884801498,Roderich Kiesewetter,politician
3866,132550240119865,Comptroller of Maryland,government
4204,255840324431929,European Union in the Republic of Moldova,government
4225,128463482993,US National Archives,government
4356,5902578166,POV,tvshow
4390,696134357234281,Axel Müller,politician
4403,1195412563899012,Tom van der Lee,politician
4453,190063684367149,StopBullying.Gov,government
4456,131370913575731,Chesapeake Bay National Estuarine Research Reserve-MD,government
4464,105423909499726,Maryland Department of Disabilities,government
4707,164201969180,Maryland State Jobs,government
4716,109040379115056,New Day NW,tvshow
4721,248281845216826,Bell Canada (Français),company
4754,308686435858053,Hawaii Department of Public Safety (PSD),government
4786,138925324029,The United States Department of Justice,government
4938,123470887663777,NFSA,government
4966,515908098472177,Nadine Schön,politician
5029,274600445950392,Unión Europea en Perú,government
5070,44573932098,Streamy Awards,tvshow
5096,230987545238,Senator Thomas V. Mike Miller Jr.,politician
5124,226487804050179,"New Zealand High Commission - Pretoria, South Africa",government
5377,123608251805,Marcus Weinberg,politician
5439,93711056469,Kai Gehring,politician
5509,741275155906327,Mary Ann Lisanti,politician
5546,349452295159676,"Peter Stein, Bundestagsabgeordneter",politician
5653,432933006819508,Norbert Barthle,politician
5694,7753384227,GEICO,company
5700,314677355299127,Annette Widmann-Mauz,politician
5862,1627976910848818,Astrid Rössler,politician
6213,31732483895,The Tonight Show Starring Jimmy Fallon,tvshow
6224,330411347064461,Andreas Lämmel,politician
6228,402764669863765,Klaus Brähmig,politician
6231,378099452299102,Ambassade du Canada auprès de la République Hellénique,government
6277,598661630150635,Matern von Marschall,politician
6294,243785542420492,Office for Victims of Crime,government
6565,133066930080591,Infoman,tvshow
6732,296961396023,Dell,company
6749,491572037569892,Andreas Jung,politician
6802,346415062142445,Union européenne en Côte d'Ivoire,government
6906,1698700087037237,Alexander Throm,politician
6943,104373812940715,SFR,company
7000,175508505841740,Major League Fishing,tvshow
7166,294494163510,Europäisches Parlament - Informationsbüro für Deutschland,government
7243,190674941006654,"Division of Solid Waste Services - Montgomery County, Maryland",government
7362,75042608259,France Diplomatie,government
7364,1413787092210831,Union Européenne à Djibouti,government
7590,8601818951,NFB,government
7663,237282353035609,Auswärtiges Amt,government
7802,239234639550868,Dr. Karl A. Lamers,politician
7966,82091527517,U.S. Army Partnership for Youth Success (PaYS) Program,government
8120,298903703477524,União Europeia no Brasil,government
8166,131236847050138,Maryland Conservation History,government
8242,182842831756930,Patrimoine canadien,government
8348,101773823336428,Rüdiger Kruse,politician
8508,179661455396943,European Union in Cambodia,government
8606,108879087298,U.S. Department of Agriculture,government
8621,173345296049629,Hélène Laverdière NPD Laurier/Ste-Marie,politician
8720,323245001172018,Bundesministerium für Gesundheit,government
8773,191494104245435,Delegation of the European Union to Japan,government
8817,382072908637491,Guido Wolf,politician
8831,116571361731931,Agence spatiale canadienne,government
8932,285619881535094,European Union in Canada,government
8980,109103609112324,Bass 2 Billfish with Peter Miller,tvshow
9069,36238026758,Deadliest Catch,tvshow
9176,146955527905,European Commission - Civil Protection & Humanitarian Aid Operations - ECHO,government
9309,80018237219,Red Lobster,company
9469,104757366254770,Michigan Department of Corrections,government
9499,31234419961,Dirty Jobs with Mike Rowe,tvshow
9529,847387425402196,Steffen Bilger,politician
9563,84588674291,"Dorothee Bär, MdB",politician
9572,178397775621595,European Union in Uganda,government
9674,102065566609156,Lorraine Richard,politician
9764,313433438777354,Michael Donth MdB,politician
9844,54076338394,Anne Arundel County Police Department,government
10004,121349471236743,SFR Business,company
10079,194928773884050,"Maryland Department of Labor, Licensing & Regulation",government
